,cubeid,cubeidpub,cubename,catid,pa_gaskin,pa_gaskin_err
1602,387690_blue_red_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26,387690_A,387690_blue_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26.fits,387690,214.5,0.41666666
1603,387715_blue_red_7_Y15SAR2_P001_09T106_2016_02_08-2016_02_14,387715_A,387715_blue_7_Y15SAR2_P001_09T106_2016_02_08-2016_02_14.fits,387715,234.0,0.16666667
1604,387719_blue_red_7_Y17SAR2_P002_09T130_2018_02_12-2018_02_19,387719_A,387719_blue_7_Y17SAR2_P002_09T130_2018_02_12-2018_02_19.fits,387719,297.5,0.16666667
1605,388146_blue_red_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02,388146_A,388146_blue_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02.fits,388146,170.5,0.41666666
1606,388200_blue_red_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02,388200_A,388200_blue_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02.fits,388200,160.0,0.16666667
1607,388390_blue_red_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02,388390_A,388390_blue_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02.fits,388390,70.5,0.16666667
1608,388424_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22,388424_A,388424_blue_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22.fits,388424,248.0,0.16666667
1609,388451_blue_red_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17,388451_A,388451_blue_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17.fits,388451,229.5,1.0
1610,388476_blue_red_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17,388476_A,388476_blue_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17.fits,388476,277.5,0.33333334
1611,388479_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22,388479_A,388479_blue_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22.fits,388479,234.0,0.25
1612,388513_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22,388513_A,388513_blue_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22.fits,388513,117.5,0.5833333
1613,388552_blue_red_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17,388552_A,388552_blue_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17.fits,388552,185.0,0.33333334
1614,388558_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22,388558_A,388558_blue_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22.fits,388558,241.5,2.1666667
1615,388603_blue_red_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17,388603_A,388603_blue_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17.fits,388603,323.0,0.16666667
