,catid,photometry,remge,mmge,rextinction,pamge,epsmge_re,epsmge_lw,dist2nneigh,chi2
2936,9388000002,VST,1.8842514,16.751791,0.035,108.13371,0.21954146,0.2658745,20.003204,4.4941177
2937,9388000003,VST,1.1389143,17.49861,0.034,112.11679,0.13655668,0.36807096,15.250534,3.1136916
2938,9388000004,VST,2.5188954,15.88046,0.034,55.74414,0.43138927,0.4231788,19.050035,3.41653
2939,9388000005,VST,1.1873047,17.354227,0.034,154.69115,0.25775567,0.4372176,7.89532,3.3042307
2940,9388000006,VST,3.5464373,16.357077,0.034,2.0531616,0.586706,0.64524305,9.120266,3.868291
2941,9388000007,VST,2.1188526,15.409446,0.034,158.76001,0.012136428,0.055227757,13.01549,1.1818144
2942,9388000022,VST,0.86288357,17.610683,0.035,86.53638,0.12334939,0.39605594,4.3734603,5.4548807
2943,9388000027,VST,2.1836307,15.667237,0.034,2.5815735,0.21089545,0.21923554,24.764381,1.2871277
2944,9388000032,VST,3.9716191,16.236221,0.035,162.87,0.052794285,0.04102236,8.530408,3.7400074
2945,9388000033,VST,2.0124083,15.933335,0.034,136.6691,0.519891,0.64285266,24.36957,1.8016222
2946,9388000035,VST,1.3573709,16.93462,0.033,168.68515,0.06271379,0.12640524,6.3618503,3.0049539
2947,9388000041,VST,1.2101009,16.32031,0.033,75.77695,0.27136272,0.50877166,22.686008,1.4012407
2948,9388000043,VST,1.5713512,17.438255,0.033,98.15289,0.07597299,0.22031283,19.884102,4.149821
2949,9388000044,VST,1.3524245,17.3341,0.035,155.87262,0.20144403,0.2826444,41.00773,3.9269307
2950,9388000046,VST,3.7983472,15.858532,0.035,1.9979095,0.65059584,0.67718965,20.189768,1.9628662
2951,9388000048,VST,1.5382748,17.104723,0.034,157.77509,0.22112674,0.32466197,13.832576,3.3309984
2952,9388000051,VST,2.2843716,16.403772,0.034,89.88089,0.072807945,0.07453382,31.678993,3.1469047
2953,9388000053,VST,2.994884,17.302742,0.033,93.70381,0.31944168,0.3474896,18.492348,4.764194
2954,9388000055,VST,2.615701,15.8209095,0.036,82.24661,0.019049149,0.016290665,20.093641,2.6158416
2955,9388000056,VST,1.1011804,16.878218,0.034,120.974915,0.28874224,0.57651895,5.2379436,2.9600978
2956,9388000058,VST,3.1994686,15.212055,0.035,100.80353,0.3985431,0.43436253,11.743,0.7926134
2957,9388000062,VST,2.6944366,14.735077,0.035,44.71158,0.410426,0.45018893,10.538269,1.1731958
2958,9388000063,VST,3.9699442,14.692896,0.034,161.73285,0.19373706,0.22302783,19.464752,0.8820025
2959,9388000065,VST,2.8774498,14.957059,0.034,32.135452,0.34265688,0.38334858,34.61416,1.2311193
2960,9388000067,VST,1.0675325,17.402863,0.033,3.410553,0.22343424,0.36755085,19.308153,3.192812
2961,9388000068,VST,3.7648897,14.721559,0.034,97.32033,0.17104578,0.15636665,27.02947,0.8730343
2962,9388000073,VST,0.9617832,16.309872,0.033,156.76608,0.20593058,0.4898736,16.090363,2.393579
2963,9388000074,VST,1.2948968,16.976366,0.033,83.963684,0.2829913,0.49260002,24.793066,4.3574977
2964,9388000080,VST,1.457908,17.371916,0.034,65.78325,0.61257005,0.6695194,13.285462,2.3898315
2965,9388000084,VST,1.550683,17.19611,0.034,17.929947,0.20251177,0.24815243,12.413729,2.6354492
2966,9388000088,VST,4.17399,17.132591,0.033,13.73999,0.4278773,0.4563012,9.073912,5.990101
2967,9388000099,VST,1.6780119,16.697844,0.033,74.752914,0.43720224,0.5708155,14.263662,1.975427
2968,9388000101,VST,2.0080845,17.73933,0.034,27.041473,0.24911603,0.3583278,10.881122,4.848673
2969,9388000105,VST,1.3386153,16.30676,0.036,83.19269,0.264008,0.49538803,24.100828,2.4204867
2970,9388000113,VST,4.811555,16.771503,0.032,136.07016,0.28261045,0.30567056,7.6315303,7.487669
2971,9388000120,VST,2.1558805,16.19389,0.033,138.69478,0.11144202,0.10823107,26.848854,1.7575272
2972,9388000122,VST,2.9724784,15.502371,0.036,112.639404,0.03786509,0.030801535,6.3699017,1.9008626
2973,9388000124,VST,2.203221,15.744401,0.036,167.28772,0.27991325,0.29547226,14.078075,1.9793743
2974,9388000130,VST,3.8805075,16.07323,0.034,112.869995,0.38743633,0.3327589,12.114038,6.88812
2975,9388000132,VST,1.617449,16.994284,0.034,77.700836,0.18979847,0.14057624,9.2761,3.0272517
2976,9388000135,VST,1.746305,16.318037,0.032,162.32147,0.11012545,0.14619756,11.246279,3.210193
2977,9388000137,VST,3.0694442,17.447239,0.033,126.15994,0.40710852,0.29935944,10.418662,4.8474317
2978,9388000139,VST,6.422956,15.528764,0.037,105.759995,0.44618398,0.51481575,29.131418,2.9388044
2979,9388000142,VST,2.0111315,17.448343,0.037,51.11702,0.5311716,0.51181793,14.738466,2.984878
2980,9388000146,VST,0.8948997,17.147043,0.033,65.88527,0.27282232,0.45099294,24.659428,3.2214065
2981,9388000156,VST,2.6558402,17.030235,0.032,110.15047,0.06664836,0.114747405,20.73434,4.5898886
2982,9388000160,VST,1.8392745,16.925686,0.032,35.449066,0.36791173,0.4668134,16.30642,2.497965
2983,9388000190,VST,2.2845852,16.785152,0.035,94.225464,0.28999308,0.35949415,13.326423,2.349864
2984,9388000195,VST,2.7858586,16.2465,0.031,72.652374,0.027402457,0.115299106,16.613998,3.1205947
2985,9388000197,VST,2.2327764,16.631615,0.033,61.83206,0.6244334,0.65604717,15.066757,2.2676525
2986,9388000200,VST,1.032481,17.317402,0.033,149.14104,0.07400544,0.111837685,19.379564,3.5625424
2987,9388000219,VST,4.951955,14.41335,0.042,27.864624,0.26908794,0.27677035,18.37382,1.1173068
2988,9388000248,VST,1.963482,16.989824,0.031,0.12654114,0.2456494,0.37742138,14.955089,2.3795555
2989,9388000253,VST,1.3006071,17.385633,0.031,135.45003,0.3429202,0.48885185,18.776747,3.26963
2990,9388000256,VST,2.3772314,15.811581,0.037,115.2986,0.23317188,0.31778872,18.3773,1.9343505
2991,9388000266,VST,1.5188372,18.368176,0.036,135.55502,0.07152841,0.06697476,13.562564,6.680167
2992,9388000269,VST,2.4029872,16.192799,0.035,139.03963,0.001402617,0.09410286,15.326397,3.9080923
2993,9388000278,VST,0.76982886,17.370783,0.035,68.65959,0.28379458,0.54243857,9.422271,2.811431
2994,9388000296,VST,2.3853965,17.151457,0.035,131.2523,0.28327006,0.26404595,8.89069,3.1566875
2995,9388000297,VST,3.6869774,16.710543,0.035,166.70117,0.67894214,0.6373597,22.153204,2.7391098
2996,9388000303,VST,1.3506002,17.230658,0.032,41.820007,0.34911197,0.45613366,4.652452,5.878321
2997,9388000338,VST,2.8608847,16.394295,0.037,101.29173,0.35945958,0.39182305,24.709211,2.3881137
2998,9388000343,VST,8.442291,14.352084,0.038,129.80849,0.5290566,0.5142194,21.510824,3.5704079
2999,9388000360,VST,3.236157,16.658354,0.037,147.91177,0.41290623,0.35565895,18.350344,3.3094807
3000,9388000364,VST,4.1671467,16.003193,0.039,90.8,0.7955034,0.8225541,19.514137,4.263805
3001,9388000373,VST,2.1043117,17.945833,0.036,142.3319,0.15879832,0.23744583,8.868274,7.242386
3002,9388000380,VST,3.1726155,16.507133,0.03,92.26579,0.45948458,0.5231202,18.602144,2.3953092
3003,9388000391,VST,3.4300861,15.388166,0.037,123.95009,0.5810681,0.52649045,17.016212,8.240568
3004,9388000397,VST,2.965464,16.117144,0.036,149.01373,0.43677256,0.20309949,13.659032,7.7207565
3005,9388000400,VST,2.2848144,17.266558,0.03,75.59384,0.507934,0.73437136,15.893424,3.1991913
3006,9388000416,VST,4.6248775,16.575176,0.036,108.441025,0.06912727,0.027801096,16.97107,4.0413136
3007,9388000437,VST,2.667021,14.998546,0.032,32.602417,0.6438833,0.6842579,28.89766,1.5427004
3008,9388000471,VST,2.6043851,16.950428,0.033,67.538055,0.2793782,0.321994,4.831835,3.653279
3009,9388000487,VST,2.0137749,17.414152,0.042,45.18622,0.38272244,0.3346609,23.112326,2.4401028
3010,9388000489,VST,3.9434006,15.313034,0.033,178.2,0.15114564,0.12846833,21.393171,2.285543
3011,9388000496,VST,2.6755402,16.975317,0.042,31.959991,0.40820563,0.3954879,23.11844,4.6175294
3012,9388000547,VST,1.0893638,17.400753,0.036,81.96539,0.44507283,0.63051116,13.12805,4.8748813
3013,9388000566,VST,1.6313618,16.421642,0.033,149.05527,0.22779328,0.40467048,21.79931,2.0671062
3014,9388000571,VST,4.286898,16.28111,0.036,53.38672,0.073392324,0.08737403,21.473433,2.618455
3015,9388000597,VST,1.3665268,16.707552,0.034,94.626434,0.0,0.0,42.184193,5.833166
3016,9388000614,VST,0.5204026,19.653837,0.034,88.683716,2.220446e-16,0.0,4.7328753,3.6164153
3017,9388000716,VST,4.262139,15.353732,0.035,150.23099,0.24450676,0.37910628,24.593077,10.699112
3018,9388000773,VST,1.6219236,16.813332,0.029,76.75519,0.098481536,0.19968724,31.55666,2.798534
3019,9388000785,VST,1.7976625,16.751358,0.033,12.427383,0.40918028,0.49667937,26.865057,3.7813177
3020,9388000807,VST,1.5807141,16.258652,0.033,71.22,0.17820378,0.28992563,9.686335,3.8376303
3021,9388000825,VST,1.8015236,16.665146,0.034,25.685364,0.1545061,0.3515808,16.669025,3.9377859
3022,9388000827,VST,0.79873043,17.17167,0.032,35.37288,0.13480379,0.33080715,9.393894,3.1114264
3023,9388000914,VST,1.8086017,16.107166,0.032,104.84952,0.22787844,0.17472112,14.358313,6.1253185
3024,9388000921,VST,1.8569667,15.446443,0.036,123.85597,0.32729277,0.4051994,24.80992,0.97026795
3025,9388000949,VST,3.6006243,15.455218,0.032,51.47296,0.011933183,0.02997297,15.079469,1.9241371
3026,9388000993,VST,1.942492,16.721891,0.034,12.238495,0.5025453,0.4909389,7.776307,3.295461
3027,9388001005,VST,5.769625,14.755156,0.032,76.31247,0.49255794,0.26349032,18.95525,6.4705114
3028,9388001017,VST,4.707833,15.345378,0.028,106.34674,0.63501245,0.65122336,21.217335,1.5303844
3029,9388001101,VST,3.6617405,15.894029,0.031,58.720337,0.7181816,0.6748985,14.809294,1.9073029
