,catid,ra_obj,dec_obj,z_spec,fillflag
213,47608,213.45465,-0.7752,0.11954,50
214,569604,219.60874,-0.52047,0.11954,50
215,41143,184.42788,-0.81904,0.11954,50
216,318644,211.85977,1.84722,0.12046,50
217,545410,219.37334,-0.87825,0.12046,50
218,486618,220.57876,-1.66923,0.11951,50
219,84047,175.78869,0.4491,0.11951,50
220,250670,215.47456,1.94652,0.12049,50
221,298176,218.6672,1.34841,0.1195,50
222,210884,140.08864,0.08505,0.11949,50
223,39538,177.34549,-0.73854,0.12053,50
224,196432,131.04463,-0.64279,0.11946,50
225,177100,175.63999,-1.8806,0.11946,50
226,513244,222.57996,-1.11318,0.11945,50
227,543893,213.25328,-0.90082,0.12055,50
228,619171,218.55617,0.23251,0.12055,50
229,543899,213.21567,-1.04318,0.12058,50
230,107086,218.39104,0.98159,0.1194,50
231,537180,184.4067,-0.85491,0.1194,50
232,376867,135.54524,1.52472,0.1206,50
233,47560,213.34913,-0.63665,0.12061,50
234,535800,179.40526,-1.02902,0.12061,50
235,376900,135.62798,1.4958,0.12062,50
236,324360,135.76054,1.8409,0.11937,50
237,619881,221.99841,0.34162,0.12064,50
238,125135,182.73344,-2.58455,0.12064,50
239,260947,212.64368,2.45005,0.12065,50
240,343741,221.95624,2.03595,0.11933,50
241,16347,218.44333,0.63481,0.11933,50
242,239953,219.78776,1.56535,0.12068,50
243,320115,217.08104,1.7706,0.11932,50
244,63119,214.61283,-0.23475,0.12069,50
245,611435,184.89243,0.30566,0.12072,50
246,47498,213.2257,-0.75794,0.11927,50
247,318942,212.97213,1.88769,0.12075,50
248,559027,175.24561,-0.58109,0.12077,50
249,535670,179.05496,-0.98493,0.12077,50
250,372154,134.49274,1.02097,0.11922,50
251,177105,175.6711,-1.87665,0.11921,50
252,31424,179.72282,-1.08054,0.12081,50
253,592944,214.8387,-0.20557,0.12082,50
254,55884,183.84862,-0.33092,0.12084,50
255,170760,176.00783,-2.42394,0.12084,50
256,559392,176.87963,-0.57244,0.12085,50
257,561538,183.97199,-0.60201,0.11914,50
258,208983,131.17357,0.10867,0.11914,50
259,239852,219.35318,1.61472,0.12086,50
260,561571,184.07573,-0.60998,0.12086,50
261,371880,133.30506,1.00375,0.12086,50
262,301651,134.67865,1.25445,0.12086,50
263,508755,218.18988,-1.59773,0.12087,50
264,266248,217.02153,2.86003,0.1191,50
265,170765,176.05719,-2.30554,0.1209,50
