,cubeidpub,cubeid,cubename,catid,cubefwhm,cubetexp,meantrans,isbest,catsource,warnstar,warnfill,warnz,warnmult,warnakpc,warnare,warnamge,warnsk2m,warnsk4m,warnsk4mhsn,warnfcal,warnfcbr,warnskyb,warnskyr,warnsker,warnwcs,warnre,warnskem,warnemft
753,77452_B,77452_7_Y17SAR2_P003_15T119_2018_03_12-2018_03_22,77452_blue_7_Y17SAR2_P003_15T119_2018_03_12-2018_03_22.fits,77452,1.4842017,10500.0,0.8938907,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,77710_A,77710_7_Y13SAR1_P014_15T029_2013_04_12-2013_04_16,77710_blue_7_Y13SAR1_P014_15T029_2013_04_12-2013_04_16.fits,77710,2.3946323,12600.0,0.9132233,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,77754_A,77754_7_Y14SAR2_P003_15T063_2014_04_02-2014_04_06,77754_blue_7_Y14SAR2_P003_15T063_2014_04_02-2014_04_06.fits,77754,2.8952684,12600.0,1.1488551,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,77845_A,77845_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01,77845_blue_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01.fits,77845,1.5509516,12600.0,1.0100318,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,77967_A,77967_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01,77967_blue_7_Y14SAR3_P005_15T080_2017_04_19-2017_05_01.fits,77967,1.5509516,12600.0,1.0100318,True,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758,78355_A,78355_10_Y14SAR4_P005_15T091_2014_07_17-2014_07_21,78355_blue_10_Y14SAR4_P005_15T091_2014_07_17-2014_07_21.fits,78355,2.573827,18300.0,0.836633,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,78355_B,78355_7_Y14SAR4_P005_15T091_2016_03_03-2016_03_13,78355_blue_7_Y14SAR4_P005_15T091_2016_03_03-2016_03_13.fits,78355,2.4745147,12900.0,0.9566626,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,7839_A,7839_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7839_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7839,1.5607373,12600.0,1.072321,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,78406_A,78406_10_Y14SAR4_P005_15T091_2014_07_17-2014_07_21,78406_blue_10_Y14SAR4_P005_15T091_2014_07_17-2014_07_21.fits,78406,2.573827,18300.0,0.836633,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,78406_B,78406_7_Y14SAR4_P005_15T091_2016_03_03-2016_03_13,78406_blue_7_Y14SAR4_P005_15T091_2016_03_03-2016_03_13.fits,78406,2.4745147,12900.0,0.9566626,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,7841_A,7841_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01,7841_blue_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01.fits,7841,1.8098305,12600.0,0.9958481,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,78425_A,78425_10_Y14SAR4_P005_15T091_2014_07_17-2014_07_21,78425_blue_10_Y14SAR4_P005_15T091_2014_07_17-2014_07_21.fits,78425,2.573827,18300.0,0.836633,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,78425_B,78425_7_Y14SAR4_P005_15T091_2016_03_03-2016_03_13,78425_blue_7_Y14SAR4_P005_15T091_2016_03_03-2016_03_13.fits,78425,2.4745147,12900.0,0.9566626,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
766,78523_A,78523_10_Y13SAR1_P015_15T023_2013_04_12-2013_04_16,78523_blue_10_Y13SAR1_P015_15T023_2013_04_12-2013_04_16.fits,78523,2.13082,17050.0,0.8245365,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,78530_A,78530_7_Y14SAR3_P002_15T077_2016_04_04-2016_04_12,78530_blue_7_Y14SAR3_P002_15T077_2016_04_04-2016_04_12.fits,78530,2.533552,12600.0,0.7463177,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768,78531_A,78531_10_Y13SAR1_P015_15T023_2013_04_12-2013_04_16,78531_blue_10_Y13SAR1_P015_15T023_2013_04_12-2013_04_16.fits,78531,2.13082,17050.0,0.8245365,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,78634_A,78634_7_Y14SAR3_P002_15T077_2016_04_04-2016_04_12,78634_blue_7_Y14SAR3_P002_15T077_2016_04_04-2016_04_12.fits,78634,2.533552,12600.0,0.7463177,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,78667_A,78667_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17,78667_blue_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17.fits,78667,2.473674,12600.0,0.9853903,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
